countryid,teamName,countryCode,teamNameClean,teamNameCleanAll,FlagPath,FlagPathWeb,filename_x
90,Estonia,EST,estonia,estonia,flags-normal/flag-of-Estonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Estonia.png,flag-of-Estonia.png
150,Eswatini,SWZ,eswatini,eswatini,flags-normal/flag-of-Eswatini.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Eswatini.png,flag-of-Eswatini.png
140,Ethiopia,ETH,ethiopia,ethiopia,flags-normal/flag-of-Ethiopia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ethiopia.png,flag-of-Ethiopia.png
167,Faroe Islands,FRO,faroe islands,faroeislands,flags-normal/flag-of-Faroe-Islands.png,,flag-of-Faroe-Islands.png
14,Fiji,FIJ,fiji,fiji,flags-normal/flag-of-Fiji.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Fiji.png,flag-of-Fiji.png
51,Finland,FIN,finland,finland,flags-normal/flag-of-Finland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Finland.png,flag-of-Finland.png
52,France,FRA,france,france,flags-normal/flag-of-France.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-France.png,flag-of-France.png
212,French Guiana,GUF,french guiana,frenchguiana,flags-normal/flag-of-French-Guiana.png,,flag-of-French-Guiana.png
215,Fs Micronesia,FSM,fs micronesia,fsmicronesia,flags-normal/flag-of-Micronesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Micronesia.png,flag-of-Micronesia.png
124,Gabon,GAB,gabon,gabon,flags-normal/flag-of-Gabon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Gabon.png,flag-of-Gabon.png
141,Gambia,GAM,gambia,gambia,flags-normal/flag-of-Gambia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Gambia.png,flag-of-Gambia.png
80,Georgia,GEO,georgia,georgia,flags-normal/flag-of-Georgia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Georgia.png,flag-of-Georgia.png
53,Germany,GER,germany,germany,flags-normal/flag-of-Germany.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Germany.png,flag-of-Germany.png
112,Ghana,GHA,ghana,ghana,flags-normal/flag-of-Ghana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ghana.png,flag-of-Ghana.png
204,Gibraltar,GIB,gibraltar,gibraltar,flags-normal/flag-of-Gibraltar.png,,flag-of-Gibraltar.png
54,Greece,GRE,greece,greece,flags-normal/flag-of-Greece.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Greece.png,flag-of-Greece.png
173,Grenada,GRN,grenada,grenada,flags-normal/flag-of-Grenada.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Grenada.png,flag-of-Grenada.png
213,Guadeloupe,GLP,guadeloupe,guadeloupe,flags-normal/flag-of-Guadeloupe.png,,flag-of-Guadeloupe.png
223,Guam,GUM,guam,guam,flags-normal/flag-of-Guam.png,,flag-of-Guam.png
98,Guatemala,GUA,guatemala,guatemala,flags-normal/flag-of-Guatemala.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guatemala.png,flag-of-Guatemala.png
125,Guinea,GUI,guinea,guinea,flags-normal/flag-of-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea.png,flag-of-Guinea.png
181,Guinea-Bissau,GNB,guinea-bissau,guineabissau,flags-normal/flag-of-Guinea-Bissau.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea-Bissau.png,flag-of-Guinea-Bissau.png
