countryid,NationalTeamName,NationalTeamsNameFiltering,FlagPath,FlagPathWeb,filename_x,filename_y,countrynameextract
50,ENGLAND,england,flags-normal/flag-of-England.png,,flag-of-England.png,flag-of-England.png,england
133,EQUATORIAL GUINEA,equatorialguinea,flags-normal/flag-of-Equatorial-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Equatorial-Guinea.png,flag-of-Equatorial-Guinea.png,flag-of-Equatorial-Guinea.png,equatorialguinea
201,ERITREA,eritrea,flags-normal/flag-of-Eritrea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Eritrea.png,flag-of-Eritrea.png,flag-of-Eritrea.png,eritrea
90,ESTONIA,estonia,flags-normal/flag-of-Estonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Estonia.png,flag-of-Estonia.png,flag-of-Estonia.png,estonia
150,ESWATINI,eswatini,flags-normal/flag-of-Eswatini.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Eswatini.png,flag-of-Eswatini.png,flag-of-Eswatini.png,eswatini
140,ETHIOPIA,ethiopia,flags-normal/flag-of-Ethiopia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ethiopia.png,flag-of-Ethiopia.png,flag-of-Ethiopia.png,ethiopia
167,FAROE ISLANDS,faroeislands,flags-normal/flag-of-Faroe-Islands.png,,flag-of-Faroe-Islands.png,flag-of-Faroe-Islands.png,faroeislands
14,FIJI,fiji,flags-normal/flag-of-Fiji.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Fiji.png,flag-of-Fiji.png,flag-of-Fiji.png,fiji
51,FINLAND,finland,flags-normal/flag-of-Finland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Finland.png,flag-of-Finland.png,flag-of-Finland.png,finland
52,FRANCE,france,flags-normal/flag-of-France.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-France.png,flag-of-France.png,flag-of-France.png,france
212,FRENCH GUIANA,frenchguiana,flags-normal/flag-of-French-Guiana.png,,flag-of-French-Guiana.png,flag-of-French-Guiana.png,frenchguiana
215,Micronesia,micronesia,flags-normal/flag-of-Micronesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Micronesia.png,flag-of-Micronesia.png,flag-of-Micronesia.png,micronesia
124,GABON,gabon,flags-normal/flag-of-Gabon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Gabon.png,flag-of-Gabon.png,flag-of-Gabon.png,gabon
141,GAMBIA,gambia,flags-normal/flag-of-Gambia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Gambia.png,flag-of-Gambia.png,flag-of-Gambia.png,gambia
80,GEORGIA,georgia,flags-normal/flag-of-Georgia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Georgia.png,flag-of-Georgia.png,flag-of-Georgia.png,georgia
53,GERMANY,germany,flags-normal/flag-of-Germany.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Germany.png,flag-of-Germany.png,flag-of-Germany.png,germany
112,GHANA,ghana,flags-normal/flag-of-Ghana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ghana.png,flag-of-Ghana.png,flag-of-Ghana.png,ghana
204,GIBRALTAR,gibraltar,flags-normal/flag-of-Gibraltar.png,,flag-of-Gibraltar.png,flag-of-Gibraltar.png,gibraltar
54,GREECE,greece,flags-normal/flag-of-Greece.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Greece.png,flag-of-Greece.png,flag-of-Greece.png,greece
173,GRENADA,grenada,flags-normal/flag-of-Grenada.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Grenada.png,flag-of-Grenada.png,flag-of-Grenada.png,grenada
213,GUADELOUPE,guadeloupe,flags-normal/flag-of-Guadeloupe.png,,flag-of-Guadeloupe.png,flag-of-Guadeloupe.png,guadeloupe
223,GUAM,guam,flags-normal/flag-of-Guam.png,,flag-of-Guam.png,flag-of-Guam.png,guam
98,GUATEMALA,guatemala,flags-normal/flag-of-Guatemala.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guatemala.png,flag-of-Guatemala.png,flag-of-Guatemala.png,guatemala
125,GUINEA,guinea,flags-normal/flag-of-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea.png,flag-of-Guinea.png,flag-of-Guinea.png,guinea
181,GuineaBissau,guineabissau,flags-normal/flag-of-Guinea-Bissau.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea-Bissau.png,flag-of-Guinea-Bissau.png,flag-of-Guinea-Bissau.png,guineabissau
99,GUYANA,guyana,flags-normal/flag-of-Guyana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guyana.png,flag-of-Guyana.png,flag-of-Guyana.png,guyana
100,HAITI,haiti,flags-normal/flag-of-Haiti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Haiti.png,flag-of-Haiti.png,flag-of-Haiti.png,haiti
101,HONDURAS,honduras,flags-normal/flag-of-Honduras.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Honduras.png,flag-of-Honduras.png,flag-of-Honduras.png,honduras
31,HONG KONG,hongkong,flags-normal/flag-of-Hong-Kong.png,,flag-of-Hong-Kong.png,flag-of-Hong-Kong.png,hongkong
55,HUNGARY,hungary,flags-normal/flag-of-Hungary.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Hungary.png,flag-of-Hungary.png,flag-of-Hungary.png,hungary
81,ICELAND,iceland,flags-normal/flag-of-Iceland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iceland.png,flag-of-Iceland.png,flag-of-Iceland.png,iceland
43,INDIA,india,flags-normal/flag-of-India.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-India.png,flag-of-India.png,flag-of-India.png,india
39,INDONESIA,indonesia,flags-normal/flag-of-Indonesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Indonesia.png,flag-of-Indonesia.png,flag-of-Indonesia.png,indonesia
17,IRAN,iran,flags-normal/flag-of-Iran.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iran.png,flag-of-Iran.png,flag-of-Iran.png,iran
24,IRAQ,iraq,flags-normal/flag-of-Iraq.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iraq.png,flag-of-Iraq.png,flag-of-Iraq.png,iraq
82,ISRAEL,israel,flags-normal/flag-of-Israel.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Israel.png,flag-of-Israel.png,flag-of-Israel.png,israel
57,ITALY,italy,flags-normal/flag-of-Italy.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Italy.png,flag-of-Italy.png,flag-of-Italy.png,italy
102,JAMAICA,jamaica,flags-normal/flag-of-Jamaica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jamaica.png,flag-of-Jamaica.png,flag-of-Jamaica.png,jamaica
18,JAPAN,japan,flags-normal/flag-of-Japan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png,flag-of-Japan.png,flag-of-Japan.png,japan
25,JORDAN,jordan,flags-normal/flag-of-Jordan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jordan.png,flag-of-Jordan.png,flag-of-Jordan.png,jordan
87,KAZAKHSTAN,kazakhstan,flags-normal/flag-of-Kazakhstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kazakhstan.png,flag-of-Kazakhstan.png,flag-of-Kazakhstan.png,kazakhstan
136,KENYA,kenya,flags-normal/flag-of-Kenya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kenya.png,flag-of-Kenya.png,flag-of-Kenya.png,kenya
34,North Korea,northkorea,flags-normal/flag-of-Korea-North.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea-North.png,flag-of-Korea-North.png,,
194,KOSOVO,kosovo,flags-normal/flag-of-Kosovo.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kosovo.png,flag-of-Kosovo.png,flag-of-Kosovo.png,kosovo
26,KUWAIT,kuwait,flags-normal/flag-of-Kuwait.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kuwait.png,flag-of-Kuwait.png,flag-of-Kuwait.png,kuwait
